Product ID,Name,Model,Description,Price,Tax Class,Categories
9386,SENCAN IC MEKAN YILBASI LEDI SNC-201-1,SNC-201-1,SNC-201-1 IÇ MEKAN UZUNLUK 10 MT LED 100 LED,"70,000",KDV (%18),154
9387,SENCAN IC MEKAN YILBASI LEDI SNC-202,SNC-202,SNC-202 UZUNLUK 10 MT LED 100 LED,"100,000",KDV (%18),154
9388,SENCAN IC MEKAN YILBASI LEDI SNC-203- S,SNC-203-S,UZUNLUK 10 MT LED 100 LED,"110,000",KDV (%18),154
9389,SENCAN IC MEKAN YILBASI LEDI SNC-203- Y,SNC-203-Y,SNC-203,"110,000",KDV (%18),154
9390,SENCAN IC MEKAN YILBASI LEDI SNC-204,SNC-204,SNC-204 UZUNLUK 100 MT LED 100 LED,"110,000",KDV (%18),154
9391,SENCAN DIS MEKAN YILBASI LEDI SNC-205- A,SNC-205-A,SNC-205 UZUNLUK 20 MT LED 200 LED,"180,000",KDV (%18),156
9392,SENCAN DIS MEKAN YILBASI LEDI SNC-205-1,SNC-205-1,SNC-205-1 UZUNLUK 3 MT LED 220 LED,"280,000",KDV (%18),156
9393,SENCAN DIS MEKAN AYDINLATMA SNC-205-2,SNC-205-2,SNC-205-2 UZUNLUK 1000 MT LED 100 LED/MT,"28,000",KDV (%18),70
9394,SENCAN IC MEKAN YILBASI LEDI SNC-206,SNC-206,SNC-206 UZUNLUK 10 MT LED 100 LED,"110,000",KDV (%18),154
9395,SENCAN DIS MEKAN YILBASI LEDI SNC-206-1,SNC-206-1,SNC-206-1 UZUNLUK 10 MT LED 100 LED,"115,000",KDV (%18),156
9396,SENCAN IC MEKAN YILBASI LEDI SNC-206-2,SNC-206-2,UZUNLUK 10 MT LED 100 LED -TOP HAREKET SABIT,"160,000",KDV (%18),154
9397,SENCAN IC MEKAN YILBASI LEDI SNC-207,SNC-207,UZUNLUK 5 MT LED 28 LED,"70,000",KDV (%18),154
9398,SENCAN IC MEKAN YILBASI LEDI SNC-207-1,SNC-207-1,UZUNLUK 10 MT LED 60 LED- SOFT,"110,000",KDV (%18),154
9399,SENCAN IC MEKAN YILBASI LEDI SNC-208- R,SNC-208-R,UZUNLUK 6 MT LED 28 LED RAMAZAN,"190,000",KDV (%18),154
9400,SENCAN IC MEKAN YILBASI LEDI SNC-208-1,SNC-208-1,UZUNLUK 10 MT LED 60 LED HAREKET SABIT / ANIMASYONLU KABLOŞEFFAF,"115,000",KDV (%18),154
9401,SENCAN IC MEKAN YILBASI LEDI SNC-209-2,SNC-209-2,UZUNLUK 10 MT LED 100 LED,"75,000",KDV (%18),154
9402,SENCAN IC MEKAN YILBASI LEDI SNC-210-2,SNC-210-2,UZUNLUK 50 MT,"290,000",KDV (%18),154
9403,SENCAN IC MEKAN YILBASI LEDI SNC-210-1,SNC-210-1,UZUNLUK 3 MT,"45,000",KDV (%18),154
9404,SENCAN IC MEKAN YILBASI LEDI SNC-211-3,SNC-211-3,UZUNLUK 5 MT,"75,000",KDV (%18),154
9405,SENCAN DIS MEKAN YILBASI LEDI SNC-211-1,SNC-211-1,UZUNLUK 10 MT,"250,000",KDV (%18),156
9406,SENCAN DIS MEKAN YILBASI LEDI SNC-211-2,SNC-211-2,UZUNLUK 10 MT,"230,000",KDV (%18),156
9407,SENCAN IC MEKAN YILBASI LEDI SNC-212,SNC-212,UZUNLUK 10 MT,"110,000",KDV (%18),154
9408,SENCAN IC MEKAN YILBASI LEDI SNC-212-1,SNC-212-1,UZUNLUK 4 MT,"75,000",KDV (%18),154
9409,SENCAN IC MEKAN YILBASI LEDI SNC-213-1,SNC-213-1,UZUNLUK 4 MT,"75,000",KDV (%18),154
9410,SENCAN IC MEKAN YILBASI LEDI SNC-214-2,SNC-214-2,UZUNLUK,"290,000",KDV (%18),154
9411,SENCAN IC MEKAN YILBASI LEDI SNC-214-1,SNC-214-1,UZUNLUK 5 MT,"290,000",KDV (%18),154
9412,SENCAN IC MEKAN YILBASI LEDI SNC-215-2,SNC-215-2,UZUNLUK 5 MT,"210,000",KDV (%18),154
9413,SENCAN IC MEKAN YILBASI LEDI SNC-215-1,SNC-215-1,UZUNLUK 3 MT,"190,000",KDV (%18),154
9414,SENCAN IC MEKAN YILBASI LEDI SNC-216,SNC-216,UZUNLUK 5 MT,"210,000",KDV (%18),154
9415,SENCAN IC MEKAN YILBASI LEDI SNC-217-1,SNC-217-1,UZUNLUK 5 MT,"190,000",KDV (%18),154
9416,SENCAN IC MEKAN YILBASI LEDI SNC-218-1,SNC-218-1,UZUNLUK 5 MT,"190,000",KDV (%18),154
9417,SENCAN IC MEKAN YILBASI LEDI SNC-219-2,SNC-219-2,UZUNLUK,"190,000",KDV (%18),154
9418,SENCAN IC MEKAN YILBASI LEDI SNC-219-1,SNC-219-1,UZUNLUK 5 MT,"220,000",KDV (%18),154
9419,SENCAN IC MEKAN YILBASI LEDI SNC-220-2,SNC-220-2,UZUNLUK 10 MT LED 100 LED,"75,000",KDV (%18),154
